x,y
36.7982611,7.2007401
36.9982516,7.3494826
37.1982422,7.4996461
37.3982327,7.6512084
37.5982233,7.8041405
37.7982138,7.9584208
37.9982044,8.1140229
38.1981949,8.2709186
38.3981855,8.4290865
38.598176,8.5884937
38.7981666,8.7491188
38.9981571,8.9109344
39.1981477,9.0739119
39.3981382,9.2380296
39.5981288,9.4032558
39.7981193,9.5695697
39.9981098,9.7369449
40.1981004,9.9053545
40.3980909,10.074779
40.5980815,10.2451887
40.798072,10.4165653
40.9980626,10.5888844
41.1980531,10.7621217
41.3980437,10.9362594
41.5980342,11.1112702
41.7980248,11.2871374
41.9980153,11.4638386
42.1980059,11.6413515
42.3979964,11.8196598
42.597987,11.998738
42.7979775,12.1785714
42.9979681,12.3591389
43.1979586,12.5404202
43.3979492,12.7224005
43.5979397,12.9050561
43.7979303,13.0883736
43.9979208,13.2723338
44.1979114,13.456918
44.3979019,13.6421126
44.5978925,13.8278958
44.797883,14.0142557
44.9978736,14.2011743
45.1978641,14.3886346
45.3978547,14.5766244
45.5978452,14.7651235
45.7978358,14.9541211
45.9978263,15.1436008
46.1978169,15.3335472
46.3978074,15.5239491
46.597798,15.7147878
46.7977885,15.9060538
46.9977791,16.0977321
47.1977696,16.2898086
47.3977602,16.4822732
47.5977507,16.6751088
47.7977413,16.868307
47.9977318,17.0618538
48.1977224,17.2557367
48.3977129,17.4499465
48.5977035,17.6444676
48.797694,17.8392924
48.9976846,18.0344084
49.1976751,18.2298042
49.3976657,18.4254713
49.5976562,18.621396
49.7976468,18.8175712
49.9976373,19.0139856
50.1976279,19.210629
50.3976184,19.4074937
50.597609,19.6045676
50.7975995,19.801844
50.9975901,19.999313
51.1975806,20.1969654
51.3975712,20.3947943
51.5975617,20.5927889
51.7975523,20.7909431
51.9975428,20.9892481
52.1975334,21.1876959
52.3975239,21.38628
52.5975145,21.5849912
52.797505,21.7838238
52.9974956,21.9827701
53.1974861,22.181823
53.3974766,22.3809765
53.5974672,22.5802231
53.7974577,22.7795572
53.9974483,22.9789722
54.1974388,23.178462
54.3974294,23.3780209
54.5974199,23.577643
54.7974105,23.7773228
54.997401,23.9770549
55.1973916,24.1768339
55.3973821,24.3766545
55.5973727,24.5765125
55.7973632,24.776402
55.9973538,24.9763191
56.1973443,25.176259
56.3973349,25.3762167
56.5973254,25.5761896
56.797316,25.7761716
56.9973065,25.9761599
57.1972971,26.1761506
57.3972876,26.3761387
57.5972782,26.576123
57.7972687,26.7760978
57.9972593,26.9760607
58.1972498,27.1760084
58.3972404,27.3759365
58.5972309,27.5758435
58.7972215,27.7757236
58.997212,27.9755739
59.1972026,28.1753904
59.3971931,28.3751679
59.5971837,28.5749038
59.7971742,28.774592
59.9971648,28.9742286
60.1971553,29.1738089
60.3971459,29.3733273
60.5971364,29.57278
60.797127,29.7721606
60.9971175,29.9714643
61.1971081,30.1706857
61.3970986,30.3698184
61.5970892,30.5688579
61.7970797,30.767797
61.9970703,30.9666301
62.1970608,31.165351
62.3970514,31.3639526
62.5970419,31.5624294
62.7970325,31.7607735
62.997023,31.9589786
63.1970136,32.1570374
63.3970041,32.354942
63.5969947,32.5526864
63.7969852,32.7502613
63.9969758,32.9476599
64.1969663,33.1448739
64.3969569,33.3418944
64.5969474,33.5387146
64.796938,33.7353243
64.9969285,33.9317156
65.1969191,34.1278795
65.3969096,34.3238059
65.5969002,34.5194875
65.7968907,34.7149125
65.9968813,34.9100725
66.1968718,35.1049573
66.3968623,35.2995556
66.5968529,35.4938596
66.7968434,35.6878559
66.996834,35.8815355
67.1968245,36.074887
67.3968151,36.2678976
67.5968056,36.4605595
67.7967962,36.652857
67.9967867,36.8447808
68.1967773,37.0363181
68.3967678,37.2274547
68.5967584,37.4181825
68.7967489,37.6084836
68.9967395,37.7983484
69.19673,37.9877624
69.3967206,38.1767102
69.5967111,38.3651831
69.7967017,38.5531612
69.9966922,38.7406342
70.1966828,38.9275862
70.3966733,39.1140002
70.5966639,39.299867
70.7966544,39.4851646
70.996645,39.6698819
71.1966355,39.8540016
71.3966261,40.0375048
71.5966166,40.2203822
